[0:00:04] 这哪个是正确的取决于我最后墨哪个
[0:24:54] 他出什么了
[0:24:58] 怎么还是积极龙啊
[0:25:11] 要是能提现到支付宝我就又能还的
[0:25:15] 我现在不能还男生
[0:25:23] 罗雀咖啡馆还行
[0:25:26] 求求名起的
[0:25:41] 完全不懂
[0:27:01] 哪个是平挺自身
[0:27:06] 这是平挺自身
[0:28:06] 你看完以后就他们
[0:28:09] 他看了一个平挺的一个上下我的一个下垂的
[0:28:12] 结果你妈做了三个全是下垂的
[0:28:24] 那你看半天看他们什么呢
[0:28:52] 这门口这些人不会瞬间消失吧
[0:28:55] 要是瞬间消失这游戏做得太阴间了
[0:29:44] 地面喷火
[0:29:49] 超级实
[0:30:44] 有一天我也想抄计净化
[0:30:46] 你是想净化成那速度减水的呢
[0:30:48] 还是失去地面手径的呢
[0:31:42] 你这想说要能出版我抄我自己大嘴
[0:32:53] 我刷新一下他还有第二阶段第三阶段什么
[0:32:58] 那也太俏性了
[0:33:06] 再多拖一会再拖再拖
[0:33:13] 这个拖
[0:33:15] 实际拖啊
[0:33:33] 再拖啊
[0:33:34] 再拖三个回合
[0:33:36] 一直拖
[0:33:37] 拖半个钟头
[0:33:47] 后边有老头这么没了
[0:33:51] 他不会把你老头吸走了啊
[0:34:04] 我就是老太太
[0:34:44] 你别进去啊
[0:34:47] 进去我就上臭水沟找你去了
[0:35:01] 要他们来了
[0:35:07] 这不是我的爱地吗
[0:35:09] 他怎么看着像要净化了
[0:37:42] 又要我进去
[0:38:39] 这棺材怎么那么像一匹马的嘴
[0:38:54] 人家在这好好睡觉你这在
[0:38:59] 在这打一下
[0:40:10] 这些棺材都离开了,不会把刚才那个做任务的那个人给包起来的吧
[0:40:15] 不是打了这么多次,他这都都不是同一只,他这是很多只
[0:40:50] 我怎么爆爆龙都中毒了,巨大金珠
[0:42:36] 这自动还能帮我把这写回满,怎么还帮我回写呢
[0:43:52] 我怎么感觉在那NPC旁边
[0:43:55] 哎,我操的呢,毒吧,我操这样
[0:47:01] 我一猜最后就把他给吃了
[0:47:03] 暗影拳,你这暗影拳哪有愤怒之拳厉害
[0:47:41] 都是拳差的也太多了吧
[0:51:31] 这游戏刚发射的时候
[0:51:35] 我用他们这10万福特打球
[0:51:37] 他们还说我这效率低
[0:51:40] 非得让我用那个电光一闪
[0:51:57] 那他们电光一闪
[0:51:59] 能打着几下自己心里没地数
[0:52:01] 怎么还未缩了
[0:52:38] 没想到你使这种会未缩的操作
[0:58:38] 真的变少了
[0:58:54] 这是他们哪个出版社
[0:59:00] 妖精龙
[0:59:01] 头目头目
[1:00:34] 哎呦你赶紧赶紧赶紧捣我擦我就收不了啊
[1:00:39] 你讲你妈故事呢
[1:00:41] 我旁边用一AI生成的都比你好
[1:01:23] 我说他刚才怎么消失了
[1:01:25] 原来他是去他们出版社
[1:02:02] 收什么版权费
[1:02:04] 版权费已经被提现了
[1:02:29] 哎怎么是这个呀
[1:02:39] 那我只能用这个制裁你
[1:03:25] 王者就是这样
[1:03:28] 我他妈一猜就是王者之间
[1:03:42] 我八千了他送我一王关
[1:03:58] 头目一般饿
[1:04:07] 头般饿一等
[1:04:10] 头般饿一等
[1:04:12] 我是不是他妈瞎了
[1:06:25] 你别在这瞅唱了
[1:06:36] 我不想听你说什么
[1:07:07] 肯定是蝴蝶蝴蝶回顺移
[1:07:10] 我操这怎么有俩了
[1:08:23] 这麻子越来越少了
[1:08:26] 振兴盛喜
[1:08:37] 这仓管不能飞呀
[1:09:07] 是不是让我找狠辣椒去
[1:09:57] 为什么不是狠辣鸡
[1:10:00] 你是真的很辣椒欸
[1:10:02] 怎么这马卡龙也要啊
[1:11:29] 他疯啦
[1:12:22] 傻变你全身
[1:12:24] 你说的
[1:12:45] 这怎么不能对着他脸喷啊
[1:12:59] 这人长得好像高士早眠啊
[1:14:45] 啊我干完活给我轰出来
[1:16:20] 这么小的小孩也要打
[1:16:22] 打坏小朋友
[1:17:12] 这个就受不了回职了
[1:17:17] 这个直接收传单
[1:17:18] 这不是铁包裤
[1:18:26] 同样是超能力的
[1:19:33] 你看见我难道不害怕吗
[1:20:20] 哎呀这阻上脚的麻子一下就几乎没有了
[1:20:23] 我的天哪就剩这么几个麻子
[1:20:26] 好开心啊
[1:20:27] 你就不用给我钱了
[1:22:08] 我那么多钱我不吸的你这几千
[1:22:10] 他给了我50个
[1:25:23] 不然你这歌都唱不出来啊
[1:26:31] 眼看这麻子就剩几个了
[1:27:24] 我的天哪
[1:27:25] 大哥100万
[1:28:14] 你知道100万是什么吗
[1:28:16] 我只需要消耗一个田田圈就回来了
[1:28:22] 我知道他们要的正愁没出消费
[1:29:05] 就他们这怎么跟那个紫米粥一个啥
[1:30:11] 他还给我100块钱反线
[1:30:32] 我刚才是摇杆回弹了吗
[1:30:35] 附近有咖啡馆的美发沙龙
[1:30:55] 这些任务都是我接了然后没完成的是吗
[1:31:09] 糟糕的
[1:31:10] 我先把这个麻子先清理一下
[1:31:26] 喝完破产
[1:31:28] 你活该破产
[1:31:30] 你觉得那个保务力没用你当然破产了
[1:31:34] 那个保务力加多多力如果都是三级的话你一趟就100万
[1:31:40] 因为是你的爱管室
[1:31:47] 我就几个都是闪光的
[1:31:49] 两公两母给他哪个呢
[1:32:01] 给他一个母的还给他一个公的
[1:32:08] 哎呀我这只有闪的
[1:32:13] 算了给他一个母的
[1:32:34] 给他哪个母的呢
[1:32:39] 给他一个检特公的
[1:33:14] 我操是什么呀
[1:33:15] 这是人吃的
[1:33:25] 我有一种感觉这个就是用他们的温豆丝画头
[1:33:30] 给我直接选中了最后然后铜笔拉大了
[1:33:41] 好模糊啊这个
[1:33:58] 你就戴着吧
[1:34:27] 这是要捉嘛
[1:34:34] 不能直接推球
[1:34:57] 好可怜啊
[1:35:12] 快快快快给你
[1:35:14] 正好少占我一颗
[1:35:44] 还差了两个圈
[1:35:47] 三个圈
[1:35:48] 就差最后四个麻子
[1:35:52] 最后四个麻子完成之后就能清这个
[1:35:56] 已经结果但是还没完成的任务
[1:35:58] 马上就结束了
[1:36:09] 太好了马上就结束了
[1:36:22] 就怎么上去了
[1:36:30] 说一个桥
[1:36:44] 说有个电梯
[1:36:53] 不是我
[1:37:42] 你想战斗了
[1:37:43] 战斗都是为了赢啊你说你又赢不了
[1:38:17] 我的天啊好可怜
[1:39:00] 还差了最后三个
[1:39:30] 日本人不就是这样
[1:39:31] 好有趣啊
[1:40:00] 我得用他对他用个飞液快刀什么
[1:40:06] 他怎么还要啊
[1:41:17] 这回要干什么
[1:41:18] 操的嘞
[1:41:28] 你这飞天堂郎能学会精神利刃吗
[1:42:37] 完了麻子爆了
[1:42:38] 真为这游戏感到悲哀
[1:48:23] 我炒那任务标志没了
[1:48:25] 这游戏怎么做的呀
[1:48:52] 回转普通
[1:49:22] 黄金刚
[1:50:00] 可能和維多利亞蓋范搞混
[1:50:36] 香腸知識
[1:51:00] 有時候還有胡蘿蔔
[1:51:03] 還有番茄
[1:51:38] 你要守住嗎
[1:51:45] 不守住是吧
[1:51:46] 那你死了
[1:52:15] 我還得回去交任我
[1:52:36] 我操他們還有冠軍呢
[1:52:46] 哎他的這隻是閃光的嗎
[1:53:15] 我操你有幾隻啊
[1:53:24] 你這過分啊
[1:54:10] 他他們帶了6隻還不讓我課藥了是吧
[1:54:14] 他要帶一隻我至於可以啊
[1:54:19] 我操他真的去閃光的
[1:55:57] 左下角還有最後一個
[1:55:59] 我的天哪這麻子終於不見了
[1:56:16] 千萬別爆漿啊我先求助你
[1:57:46] 我沒有麻子
[1:57:49] 太清爽了
[1:58:10] 右邊還有一個
[1:58:12] 我操這還有一個
[1:58:17] 先把這個花貝給他看了
[1:59:30] 最後一個麻子
[1:59:31] 怎麼是喬依小姐
[1:59:53] 花寶鼻是什麼
[1:59:55] 不會是朝北鼻吧
[2:00:39] 我操的什么呀
[2:00:44] 打我这个
[2:01:30] 不行啊我一定我得
[2:01:33] 让你见识一下我有多么的愤怒
[2:02:32] 这个任务是不是
[2:02:36] 是不是第2C限定的
[2:02:38] 因为这个游戏第2C发售之前没有这个经验
[2:02:49] 他是不是第2C更出来的
[2:03:19] 好想亲眼看看
[2:03:21] 超级恰雷姆
[2:03:50] 你直接从我盒里看不就完了吗
[2:04:00] 非得让我放他们队伍里
[2:04:02] 怎么还跟我打呀
[2:04:50] 我早知道
[2:04:56] 那我要是从头到尾都不上这差连你
[2:04:59] 这不是利牙鱼
[2:08:34] 我没有啊
[2:08:41] 操的嘞我什么进化了
[2:08:52] 哎呦怎么会有这种情况发生
[2:10:49] 我怎么你回来他变成花了
[2:11:21] 大哥我的鱼呢
[2:11:38] 大哥你这鱼怎么是恶鱼
[2:12:09] 大哥鱼呢
[2:13:04] 我没听错他确实是要鱼的
[2:13:07] 可是鱼呢
[2:13:17] 不是要恶鱼
[2:13:22] 我没进错坑的
[2:13:28] 我没进错坑啊
[2:13:41] 为什么搞得好像我进错坑了似的呀
[2:13:47] 这所有的都有就没那鱼啊
[2:14:02] 他是不是bug
[2:14:07] 我来那么多回你也没出来啊
[2:14:09] 走了走了走了走了
[2:15:03] 现场给你
[2:15:05] 给你鱼了一个
[2:15:18] 够意思吧
[2:16:43] 我以为他让我回去再帮他抓五句去呢
[2:16:46] 吓我这一大跳
[2:16:48] 我那坑还没了
[2:16:55] 怎么会有这么不要脸的游戏
[2:17:13] 抬走下一个
[2:17:15] 穿着尺寸的山羊
[2:18:00] 他给了我八千我算
[2:18:04] 果然羊跟这个
[2:18:06] 八千也有密不可分的关系
[2:18:13] 这个是宝可梦za
[2:18:15] 需要买一台任天堂switch2
[2:18:25] 之前老板的一代nse也能玩
[2:18:29] 但是最好不要用nse玩
[2:18:32] 那个效果非常差
[2:18:33] 然后卡的跟孙子是
[2:18:37] 只有二代能流畅运行
[2:18:40] 你要是用一代玩这个游戏折磨死
[2:18:43] 哎我怎么在臭水沟里
[2:19:12] 他每次读取的时候
[2:19:17] 就是比如你现在要飞到这个地方
[2:19:20] 你飞直接一秒就飞到飞过去了
[2:19:25] 你要是用nse一代你想飞到这位置十几秒
[2:19:30] 一直在独调
[2:19:39] 我给他一只闪的
[2:19:57] 现在nse二三千多对三千
[2:20:00] 出头,但是之后出的新游戏都只有二代才能玩了
[2:20:09] 一代已经结束了,一代就剩一个节奏天国了
[2:21:19] 抬走,下一个,11罪枪
[2:21:50] 100多买NSR的视频
[2:21:59] 我曾经有一个好朋友,他那个直播间2万多人
[2:22:03] 那2万多人呢,砍一个1000多块钱的手机
[2:22:08] 最后砍了一整天都没砍下来
[2:22:15] 直到过几天那个公司才知道探神事了
[2:23:03] 我还得把其他C回去
[2:23:18] 我再给他吃点
[2:23:32] 怎么不是朋友,真的是朋友
[2:23:37] 对他这个不友好的评论不都是你们发的
[2:23:41] 又不是我发的
[2:23:56] 耿鬼需要通信真话,需要把耿鬼传到你朋友的
[2:24:01] 真话之后再给你传会了
[2:24:24] 我还得跟你单挑是吧
[2:25:06] 那朋友不传回来怎么办
[2:25:17] 我曾经给我一个当主播的朋友传了6000块钱过去
[2:25:27] 后来这个朋友把直播间主效
[2:25:30] 完了,敲梦丢了
[2:26:18] 搬东西,完皮熊了
[2:26:55] 我在这打怪,他在旁边自我激励,我真受不了
[2:28:13] 我旁边有一个RQ证券
[2:28:26] 我炒迷迹回任务了,我要结束了
[2:29:10] 这电飞鼠我最后没追上
[2:30:07] 哎,这个豪华球现在满达街随便就能捡,还能买
[2:30:18] 想当年玩火红业率的时候,零几年的时候,这豪华球不能买
[2:30:29] 那有一个岛上有一女的,她在那点菜
[2:30:38] 她说我想看奶奶哪个精灵,你能帮我把这精灵拿过来
[2:30:44] 然后你就给回那箱子里去给她取
[2:30:49] 你还必须得在一定的部数之内给她取
[2:31:15] 要不然她就不想看这支了,她就改精灵了
[2:31:18] 最后你千里迢迢给她取完了,她看了以后她就非常高兴
[2:31:25] 然后给你一个奖励,然后这个奖励有小概率是豪华球
[2:31:36] 还是小概率还不是大概率,怎么还有找房子的
[2:32:05] 电飞鼠你记得是腾腾蛇的好朋友
[2:32:14] 你们这都,你们不要再告诉我了
[2:32:20] 我什么都不想知道
[2:32:22] 我现在看着腾腾蛇就噁心
[2:32:48] 别等过两天我看这些电飞鼠也噁心
[2:32:54] 我真的谢谢你
[2:32:55] 还必须都得拥有幽灵属性
[2:33:21] 你脸可真大,差不多
[2:33:41] 我感觉波加曼比腾腾蛇噁心
[2:34:57] 输掉了,就在你后边
[2:37:26] 噁心啊,什么叫咖啡馆
[2:37:50] 美发沙龙,一动到咖啡馆
[2:37:53] 先找个美容美发去
[2:37:58] 她这她妈的这都病剧,我真糙了
[2:38:50] 说你妈呢,你这是人能听懂的话吗
[2:38:57] 当务之急是找到附近有咖啡馆的美发沙龙吧
[2:39:07] 是这个美发沙龙附近有咖啡馆
[2:39:19] 还是说现在咱们待着这地方附近
[2:39:22] 有一个待咖啡馆的美发沙龙
[2:39:28] 说你妈呢
[2:40:04] 是这个吗,这进吗,感觉就这最近
[2:40:19] 大姐,你这,哎,你这,你有上半身穿这个,然后下边不穿裤子的吗
[2:41:11] 真他妈恶心,这不对啊,这狗逼没有啊
[2:41:46] 他就丢路上了,这咖啡馆好像不让进
[2:42:05] 我看起来是红的,他怎么自己就找来了
[2:42:50] 丢了个钥匙给人一金珠,我操
[2:43:23] 你丢的是金库钥是吗
[2:43:37] 秀出冰雪聚龙的实力吧
[2:43:40] 正好晚上了
[2:46:42] 破壁游戏做的,真的死了吗
[2:47:13] 你也家呢,你不家呢,你在里边待着
[2:49:45] 怎么又有新麻子了
[2:50:05] 救麻不去 信麻不來
[2:50:07] 哎我唯一的這隻小牧妖
[2:50:58] 怎麼不是閃光的呀
[2:51:05] 難道我把它進化了
[2:52:41] 我怎麼感覺我自己像個大F
[2:53:42] 做他們一美呢
[2:54:00] 我覺得你這個遊戲不能讓人有這種想法
[2:55:27] 你傳話你能自己下去說嗎
[2:55:31] 所以讓我覺得哎呦我操
[2:55:33] 這能這還能有個螺絲
[2:55:36] 我覺得受不了
[2:55:40] 都猴年馬月了還能看見螺絲
[2:55:42] 哎那人呢我操
[2:56:00] 不是你媽他跟他不就站這樣嗎
[2:56:12] 讓他通靈走了是嗎
[2:56:33] 我操他怎麼跑那去的
[2:56:40] 他是要一步一步的離人家越來越近
[2:56:45] 你們倆能見一面
[2:57:45] 少同的智慧吧
[3:00:39] 看来任务在那独调浪费的这个时间完全不算她的这个cd时间
[3:00:50] 要不然早活了马上就完了
[3:08:54] 这她们一刷就是头目啊
[3:08:59] 我目前就没碰到过她不是头目的头目
[3:09:02] 糟的嘞她
[3:10:00] 他能给他进化一局,一定要在里边装
[3:10:39] 那这玩意白天也有吗
[3:11:05] 有个NPC他想要这个难关
[3:11:41] 就中间最大的这个难关
[3:11:44] 但是他不要红眼睛的
[3:11:46] 你看你一进去红眼睛看见没有
[3:11:48] 他要眼睛不发红光的
[3:11:50] 这不比那凳子快
[3:12:27] 我操你这么刷不累死
[3:12:57] 晚上不红
[3:13:09] 你们别骗我
[3:13:13] 我被你们骗了不是一次两次了
[3:13:15] 这里边有个咖啡馆
[3:15:09] 这里边有一咖啡馆
[3:15:16] 怎么早没发现这里边有个咖啡馆
[3:18:56] 这个圈吗
[3:19:26] 这个圈吗
[3:20:00] 操 这样呢 得 少一个 一会儿这大难过都这么闪
[3:20:39] 就是你得抓这个难过 然后抓大难过 然后眼睛还不能是红的
[3:21:21] 你看 就必须得要这个体型的难过 但是他眼睛不能是红的
[3:21:26] 看见这眼睛 这眼睛就出事了
[3:21:58] 干嘛全抓了呀 我操全抓了你还得等他cd
[3:22:02] 他大还是小 你肉眼看不出来吗
[3:22:13] 你看这几个小b完成 他是大还是小眼睛看不出来是吧
[3:22:44] 这个够大了 感觉这也不是很大
[3:22:57] 你确定这个大 我感觉这还没刚才那大
[3:23:15] 这叫i mu 还行
[3:23:23] 刚才那个好歹是i啊 这个好像这个够吧 底下闪了一个小黑难过
[3:25:31] 这个闪了 哎 这个这个 这个这大吗
[3:25:51] 感觉这挺大的 你进去吧 i mu 绝种
[3:27:22] 然后这个游戏最操心的地方是什么
[3:28:08] 他这个大柯种只有在这个区域里咬
[3:28:18] 就是你在那个一空间里边 你抓100g那100g都只能是i mu
[3:28:32] 那个一空间里边只有i mu和那个头目差2个型号
[3:28:39] 没有别的型号 全他没有个型号
[3:28:46] 他就会为了让你在这做这个任务 他不想让你上那个空间里刷
[3:28:52] 所以他把这空间里的体型给锁了 你说操心不操心
[3:29:57] 哎 有这个雨
[3:30:00] 这难过会不会长得很好
[3:30:38] 他的出现概率是不比闪光要低啊
[3:30:41] 我已经闪远了
[3:30:43] 不会一会闪两个 闪三个 闪四个吧
[3:30:55] 门口这几个好像没有大的
[3:31:00] 你确定吗
[3:31:01] 千万别胡逼说啊
[3:31:04] 我最忌讳的就是胡逼说
[3:31:20] 我这个采集卡不推荐 我这个采集卡很贵
[3:31:25] 是我朋友送我的
[3:31:37] 他1080P可以录120帧
[3:31:42] 然后60帧支持4K
[3:31:57] 这个卡好像要1000多块钱
[3:32:07] 延迟大不
[3:32:09] 延迟大不大不影响
[3:32:12] 我玩游戏又不是看采集卡的话
[3:32:19] NX不是有一根输出吗 让你插到这个
[3:32:24] 这个电视上的这个HDMI
[3:32:27] 你把这根NX伸出来的HDMI
[3:32:31] 插到这个HDMI1分20
[3:32:37] 你把这个HDMI平增分
[3:32:39] 生成两根
[3:32:41] 然后其中一个插采集卡
[3:32:44] 另外一个插电视
[3:32:45] 然后你看着电视不是就能玩了
[3:32:48] 然后采集卡那端有多大的延迟跟你没关系
[3:33:01] 采集卡肯定是会有延迟
[3:33:04] 采集卡不可能和你直接显示是一个速度
[3:33:09] 再快的采集卡也总会有速度损失
[3:33:35] 这怎么办
[3:33:57] 我怎么越活越抽手啊
[3:34:18] 哎呦我糙的
[3:35:27] 这还不能用那大大力
[3:35:28] 我能抓一个这个头目然后找我的朋友把他那红眼睛去了
[3:35:59] 把他那头目标志给去了
[3:36:45] 哎怎么有这个
[3:36:52] 你发现他比别的黑一点
[3:36:57] 这有什么区别吗
[3:37:06] 他们好像颜色还不是特别一样
[3:37:25] 这头目怎么不能去啊
[3:37:27] 这个大
[3:37:39] 这草红眼睛
[3:37:42] 俩红眼睛
[3:37:50] 怎么去
[3:37:52] 你直接把你是否头目的那个0
[3:37:55] 你把那1给改成0不就行了
[3:38:40] 旁边那个头目
[3:38:42] 那头目肯定是差矮二了
[3:38:44] 头目是稳差矮二
[3:38:50] 头目是锁差矮二的
[3:38:52] 就他只要是头目必差矮二
[3:39:38] 我看着那个头目的大小专
[3:39:48] 他这个差矮二跟差矮二也是有区别的
[3:39:51] 不是所有的差矮二都一边的
[3:39:55] 就有可能比头目小一拳
[3:39:58] 但他还是差矮二
[3:40:00] 所以你最好不要以那个为标准
[3:40:11] 一会我就手一滑就把四马猴放生
[3:40:58] 如果你要是用NSE一来我操
[3:41:01] 你每次回城怎么一读
[3:41:03] 十几秒
[3:41:05] 直接就他们吐了
[3:42:03] 这可不幸瞎说
[3:42:11] 我上次就就就玩那个
[3:42:13] 黑神话悟空的时候
[3:42:26] 我就问了一句大不大
[3:42:29] 然后直接抖音就关了
[3:43:33] 到底要不要脸
[3:43:37] 一点脸都不要干嘛呀
[3:43:40] 他肯定出现概率比闪光还低
[3:43:48] 他多少概率啊
[3:43:50] 在这恶心人员
[3:44:29] 这个南瓜惊你看看
[3:44:31] 看着这个南瓜惊
[3:44:46] 看着这些南瓜惊都特别小
[3:44:51] 这个任务让我抓一个大人
[3:45:07] 我上哪这个找大人
[3:45:15] 他让我抓大难过
[3:46:06] 你看着中间这个有多大
[3:46:08] 就这个看着
[3:46:10] 看这个有多大
[3:46:13] 我要抓一个跟这个一边大的
[3:46:15] 但是呢
[3:46:19] 不是我要抓一个跟这个一边大的
[3:46:21] 但是呢他的眼睛不能是红的
[3:46:29] 是跟左边这个一样大
[3:46:31] 但是他眼睛又不能
[3:47:02] 红的咋了
[3:47:04] 看见这女的了吗这狗逼女的看见了吗
[3:47:07] 他不要红眼睛
[3:47:23] 你要是问为什么红眼睛那不行
[3:47:25] 你就去问他你不要问我
[3:48:08] 如果你要是也想像我一样天天
[3:48:11] 暂停读取暂停读取
[3:48:17] 暂停读取
[3:48:19] 暂停读取
[3:48:22] 暂停读取
[3:48:24] 如果你要是也想像我一样的
[3:48:27] 那你就买这个游戏
[3:48:31] 如果你不想像我一样就别买
[3:48:33] 说的是不是
[3:49:53] 你说我也没招式没惹食我为什么他怕今天要在干这个
[3:51:37] 怎么会这样 怎么会这样 怎么会这样
[3:52:12] 这边没办法吃甜甜圈吗
[3:52:27] 就好比
[3:52:29] 就好比我在玩初代的时候 你问我这个壳不能抱起来
[3:52:33] 我是多么的想把这壳抱起来
[3:52:58] 次元里边是锁的
[3:53:01] 他就是为了让你完成这个任务 他把次元给锁了
[3:53:06] 你在次元里只能预在M体型
[3:53:09] 次元里边锁体型
[3:53:12] 只有头目是
[3:53:15] 然后剩下所有都是M
[3:53:23] 他就会为了折腾你 无所不用其及
[3:53:28] 你的这个想法已经被他预料到了
[3:53:51] 他卖你果子的时候一个一个卖
[3:53:54] 纯碎片的时候最高只能存999
[3:53:59] 这个都是这游戏默契了 才修复
[3:54:05] 然后他这个南瓜
[3:54:06] 这一空间里边锁体型
[3:54:09] 是他刚发售的时候就锁了
[3:54:12] 就他别的都考虑不到 但是再怎么恶心你的这个方面
[3:54:16] 他全都能考虑到
[3:54:30] 就死妈的时候一死一个一死一个
[3:54:33] 该干事的时候什么都干不来
[3:54:51] 很多人也是这样的
[3:54:54] 从头到尾必事不干
[3:54:56] 就只会恶心
[3:55:22] 这个事
[3:55:34] 对吧 买机器的时候没他 研发的时候没他
[3:55:37] 最后给热绒娇洗地的时候他出来了
[3:55:46] 前期干事的时候什么都没见他干
[3:55:51] 等到该给娇洗地也来得出来
[3:56:46] 现在有心死了
[3:56:50] 这够大了
[3:57:17] 这好歹是个L
[3:57:30] 我还抓了好几个M
[3:57:36] 天佑摇晾
[3:58:41] 还抓那么多M用的玩弄
[3:58:47] 你连他们这南瓜都不放过
[4:00:00] 这个那么恶心啊
[4:01:08] 感觉又快闪了
[4:01:51] 悲哀呀
[4:01:54] 真为我自己感到悲哀
[4:01:56] 每次一打开这个游戏
[4:01:57] 就会为我自己感到悲哀
[4:02:08] 他总能以
[4:02:09] 以一些手段能把你给恶心啊
[4:03:11] 闪超梦多少的概率啊
[4:04:11] 这大了
[4:04:25] 又是他们M又是他们M
[4:04:42] 哎我知道他刷不出来是为什么了
[4:04:49] 我都忘了
[4:08:49] 那个行吗
[4:08:57] 感觉这个好大呀
[4:09:13] 太好了又是M
[4:09:29] 得跟这个一边大
[4:09:51] 大小有啥影响
[4:09:54] 他把左边这女的他就要大的
[4:10:00] 小的他不要
[4:10:07] 你说他想要难过他他们不自己抓
[4:10:17] 他让我抓
[4:10:26] 牛逼你自己抓来
[4:11:43] 还他们假方他给钱的吗
[4:11:45] 他给钱他才算假方
[4:11:53] 他怎么不给钱他算什么方
[4:12:31] 这不够吧
[4:12:32] 我看就不够
[4:12:45] 怎么会这样
[4:14:44] 我都不想活了
[4:14:46] 哎呀怎么会这样
[4:15:36] 没想到就剩这么几个任务就还能在这
[4:15:39] 他妈的恶心好几个钟头
[4:15:42] 这明明就剩这么几个任务了
[4:15:45] 干嘛呀这些
[4:15:47] 轻到最后啊轻到最后
[4:16:18] 还是把我给饿
[4:17:45] 我这刷这么半天闪光都出了怎么怎么他是出不了的
[4:18:10] 太好了我的真理死
[4:18:12] 赶紧给他复活
[4:18:32] 难道是那
[4:18:33] 哎呀眼睛啊
[4:18:41] 眼睛啊
[4:19:42] 真能刷出来吗
[4:19:44] 如果刷出来的任务怎么完成
[4:19:49] 为什么那么大他确实矮梦
[4:20:04] 你在这个异次元里面刷到的所有的,所有的这个难瓜,全是M体型,所有难瓜所移的显化,除了头目,头目是X,除了头目以外,所有的难瓜都,都所安,他就是怕你,怕你不想完成这个任务,去你次元里刷,所以把次元里给你锁了,有没有可能L也不一定大,我的天呐,你在说什么?
[4:20:57] 就是有一只特别特别小的,但是它是L是吧,然后有一个特别特别大的,但是它是S,你是这个意思吗,现在要找XL,就是跟那个红眼睛头目一边大的形态,但是它又不要头目,就眼睛还不能红,然后还得跟那红眼睛一边大,你得满足这两个条件,
[4:22:16] 哎,巨颗种,你听这名字,巨颗种,怎么会这样,这个概率到底是多少啊,有闪光高吗,你们能别没灯硬走吗,我得全都抓,为什么全都抓,哎,这个大,我操,我操,这怎么也是M啊,你确定我得全都抓了,那我又听你的全都抓了,以后我给这个李岳王抓进化了的,
[4:27:28] 哎,这个就是啊,这不也是M吗,不对啊,我在那公园里边的时候,它哪有这么大啊,怎么抓的时候就那么一点,它放出来怎么这么大了,你抓的时候它没这么大啊,哎呦,我操的嘞,
[4:28:51] 说不定恶心,怎么会这样啊,
[4:30:21] 還是還有禮物
[4:30:55] 我拿一隻給你打
[4:30:57] 哪有會催眠的呀
[4:35:08] 哪個都不算會催眠
[4:35:33] 噩夢神
[4:35:39] 這給他催死了怎麼辦
[4:38:05] 我怎麼連瞅瞅魚都沒有啊
[4:38:11] 啊啊啊啊啊啊
[4:38:18] 我那瞅瞅魚
[4:38:19] 是不是進化成那個
[4:38:21] 斷壁美納斯了
[4:38:23] 噩夢神催眠真的不會做噩夢
[4:39:09] 他不僅會做噩夢
[4:39:15] 甚至他自己睡著了
[4:39:17] 他自己也會做噩夢
[4:39:18] 能明白什麼意思嗎
[4:39:25] 就是有一個孫子
[4:39:27] 他曾經刷這個噩夢神的閃光
[4:39:30] 四千分之一的概率
[4:39:32] 刷了一萬多次刷出來了
[4:39:36] 然後用這個點到為止
