全场最高能：498:28	这把只能说技不如人了

其他高能：
 1:15 - 3:18	孙怎早	(啊啊啊,怎晚,孙)
 228:05 - 228:21	主播的多人许可证是不是又被胖哥没收了	(胖哥,没收,起步)




 229:56 - 230:22	跟猜密码锁	(数据,小孩,亲戚)
 239:05 - 240:43	那我发pange给我推panga还是白胖	(我,那,胖白)
 242:40 - 242:56	为什么感觉有的弹幕我看不见	(走马灯,看不见,啥)
 243:11 - 243:16		()
 244:00 - 244:29	主播是日本人吗	(导演,头号,剧组)
 252:38 - 253:58	别瞎说，主播出了名的心态好	(牛车,播出,主)
 255:50 - 258:10	那咋了	(了,表扬,点名)
 261:10 - 261:41	14也是4	(14,4,也)
 262:51 - 263:13	越落后越领先[妙]	(越,搁着,领先)
 265:50 - 267:50	好了	(LOSE,？,HOW)
 270:31 - 272:03	等会来一个蓝龟三体就老实了	(老实,三体,一个)
 272:44 - 273:20	准	(准)
 275:30 - 275:37	有没有可能是因为现在只剩下12个人了	(个人,天,剩下)
 276:03 - 279:23	只配拿金龟子[哇]	(牛,[,])
 280:08 - 280:10		()
 281:14 - 281:23		()
 283:18 - 283:42	太晚了，不方便玩	(叠加,方便,太晚)
 287:31 - 289:34	啥时候灯顶9000[妙]	(666,555,[)
 297:39 - 304:00	那连续拿的两个美食都是2级美食的，固定的[花]	(鱿,[,])
 307:47 - 310:43	你把你直播间给555播得了	(555,了,技)
 311:18 - 311:19		()
 311:32 - 311:54	主播怎么不在无敌时间吃道具啊	(你,掉下去,时间)
 318:21 - 321:00	主播，这就是你想要的灯顶吗	(的,了,你)
 328:49 - 330:23	蒙的	(哈哈哈,？,哈哈哈哈)
 330:56 - 331:03	你是怎么做到的	(贪,字,做到)




 331:18 - 331:54	没555，这把灯了也没含金量	(555,没,第几)
 337:08 - 337:16	看饿了	(饿,看,了)
 338:57 - 339:11		()
 340:30 - 341:36	555现在8888分	(8888,司马,鱼)
 341:55 - 342:27	上过2次吹成3次了	(走马灯,次吹成,上过)
 342:47 - 344:26	太阳升起，就把昨天的事忘掉了	(劈,的,过)
 347:33 - 348:09	日墙	(日墙,LOSE,也)
 348:19 - 348:48	没雷该果断刹车，这没给你回旋镖加火花不错了[花]	(了,很差,狼狈为奸)
 348:53 - 349:25	9757我去	(9757,赛,心拉戾)
 349:45 - 349:53	直播间没了[委屈][委屈]	(委屈,[,])
 350:10 - 350:33	大家可以趁机开始卖电脑了，抓紧机会	(抓紧,趁机,dy)
 350:56 - 351:14	开关一直顶	(你,维持,钻石)
 358:48 - 359:42	他吃了俩蓝龟一闪电还是第一 最后一圈开始被打下来的	(怎么,1w,芜湖)
 366:44 - 367:06	走马灯	(的,箱里,普通)
 367:25 - 367:32	不能，美食技不如人	(不能,美食,技不如人)
 367:44 - 368:59	这代专门给蘑菇加的无敌帧，所以才能用来躲蓝龟	(蘑菇,最高级,的)
 369:10 - 371:34	是因为太大了胖哥拿不了吗	(了,镖,，)
 373:06 - 374:03	近道有配额的，练习的时候把配额用了实战就容易掉下去	(配额,了,登顶)
 374:29 - 374:38		()
 375:13 - 375:21	笑的怎么跟赌博默示录里那会长似的	(似的,会长,默示录)
 376:51 - 377:42	高级美食会收火箭爆料	(美食,一个,爆料)
 377:59 - 378:15	有个表格	(唐僧肉,表格,有个)




 379:49 - 380:34	主播主播，用不完的金蘑菇上哪回收啊	(666,主播,不能不要)
 380:46 - 381:33	老板糊涂	(糊涂,么,未成年人)
 387:27 - 388:59	说了羽毛是躲蓝龟的[傲娇]	(他,羽毛,，)
 392:14 - 392:35	无法通过技术手段来解决[花]	(技术手段,通过,解决)
 401:01 - 402:35	好像是一个马里奥，最后一名还留着三体打你	(还,欧,瓦力)
 402:43 - 403:47	胖哥肯定没有进啊	(小红,胖哥,啊)
 413:49 - 414:48	这你防不了，因为你最后一名拿的喷，如果他有雷，就是之前专门留下劈你的	(你,，,防)
 422:28 - 424:29	那个树根那要加速配合蓄力跳，然后12进8那火箭晚一秒放就好了[花]	(LOSE,了,群)
 424:52 - 425:10		(干坏事,好像,loveniu)
 425:55 - 426:39	给你一闪电	(一,闪电,给)
 427:14 - 427:27		()
 428:43 - 430:29	主播的天气预报不太理想	(天气预报,的,不)
 431:14 - 434:34	手离不开牛了	(了,[,])
 442:38 - 445:29	主播你有閃電為什麼還輸了[哇]	(了,[,])
 446:27 - 447:15	把牛牛送上9000了	(鱿,9000,牛)
 447:19 - 447:34	love牛9000	(爽,love,9000)
 447:55 - 448:09	贴脸开大	(开大,贴脸)
 454:25 - 456:12	黑幕啊	(？,了,蒙)
 462:35 - 463:34	这个运气	(，,不,发生)
 463:56 - 467:58	不值得，马车8都12年前的游戏了	(比心,[,])
 469:31 - 470:34	大概3000块就可以买得到这款游戏机和这款游戏的套装版本了	(买,游戏,的)
 470:50 - 472:09	我也是今年偶然看走马灯视频才知道来b了[dog]	(dog,我,b)




 472:34 - 475:24	但是哔哩是真的很lj啊，我4K120的视频到哔哩直接1080p了	(了,[,])
 475:44 - 476:27	好多自己人[哇]	(ztmex,LOSE,你)
 480:31 - 480:56	第三大削弱就是不能爆料了	(强力,仍然,不停)
 486:39 - 487:50	流鼻涕了	(好,了,流鼻涕)
 492:49 - 493:48	主播这是本来就不够熟练，还是状态差	(海豚,鼻涕,就)
 497:47 - 499:49	这把只能说技不如人了	(了,亲亲,[)
 502:07 - 502:43	人家是海豚	(认成,企鹅,子主播)
 502:57 - 503:05	你也搞一个	(搞,一个,也)
 508:33 - 512:08	金蘑菇该在那桥上走一半就可以用了的，以前都这样[花]	(你,走,上)
 518:23 - 521:00	是真的[花]这游戏的淘汰赛模式真的越玩越上瘾[花]	(！,撇嘴,[)
 521:05 - 521:40	8h	(麦当劳,8h,麦麦)
 523:46 - 524:08	蒙的	(蒙,的)
 528:43 - 531:37	死了都要i[哇]	([,],了)

