全场最高能：87:43	蒙的，我没看见，再过一次】‘

其他高能：
 4:07 - 6:39	不好，飞	(卡,进门,他)
 161:40 - 162:33	今天看你个Ai祖国人，做的真nb	(你,看,就)
 164:00 - 165:16	炸～和田	(和田,和,，)
 167:14 - 167:30	香港还真有个叫河田的轻轨站	(王八,回头,不太可能)
 168:03 - 169:51	这几天我看娃娃又开始玩多人了	(嘛,了,])
 174:38 - 174:51	直接 套公式（）早过	(公式,套,早过)
 176:23 - 176:35	好久没听主播讲白白胖胖和小鼹鼠的故事了	(小,课堂,鼹鼠)
 176:54 - 178:18	为什么就菇，惠哪去了	(是,💗,一古)
 187:59 - 190:57	(锅xx)：那你第一次怎么蒙过去的[dog]	(),(,：)
 196:29 - 196:57	在有刺那墙龟壳上墙会怎样	(金币,杀,是)
 205:24 - 205:45	看不到哔哩弹幕了	(看不到,哔哩,弹幕)
 213:58 - 214:24	胖哥来了就是全自动	(别关,全自动,空调)
 216:01 - 216:09	bot挂着我也加纳了[花]	(挂,加纳,花)




 226:07 - 227:23	[委屈]为什么倒闭了，bot像妙子一样飞走了，bot还会回来吗	(],[,了)
 228:07 - 228:14	局外人	(局外人)
 230:05 - 230:55	类似竞技场，先用分买门票，赢的多加的多，输够出局	(，,的,出局)
 231:05 - 232:11	门票还带涨价的p	(门票,一样,不)
 235:52 - 236:14	今天应该是没有牛车的了	(今天,怎么回事,应该)
 236:20 - 237:51	蒙的好可以穿四个	(可以,的,是)
 237:59 - 238:44	可以蓄着不放啊	(？,不放,蓄着)
 240:00 - 241:33	对面是公升8k	(8k,对面,狙打)
 242:58 - 245:06	如果我方落后且塔在我放控制，就会加时	(声呐,怎么,进口)
 245:55 - 246:30	这把要臭槟了	(气垫,人家,臭槟)
 248:17 - 250:52	赢了	(了,赢,饼)
 254:17 - 254:29	为什么不切手枪	(手枪,切,为什么)
 255:24 - 255:37	原来是开放啊	(原来,开放,啊)
 255:51 - 257:45	主播又不跟我一起玩[傲娇]	(开放,],[)
 262:13 - 263:32	主播，这个模式是运输雅阁塔楼到对面家，然后共筑清朗吗	(塔楼,是,这个)
 263:37 - 265:39	是真发力了，半个小时过去我一次都没寻到	(绷,难,的)
 266:59 - 267:01	mega巨金怪有漂浮吗	(巨金怪,漂浮,mega)
 267:11 - 267:39	elo发力了	(走马灯,你,漂啥)
 269:47 - 270:30	我知道啊，他就这么来打真格吗	(打,啊,dog)
 270:40 - 270:53	test	(test)
 278:08 - 278:22	主播在景区办了年卡	(景区,5A,办)
 278:47 - 278:51		()
 282:46 - 284:49	我有什么办法[傲娇]赢的是输的十倍了都[傲娇]	(],[,🍾)




 284:58 - 285:37	该换枪了，这是4K的诅咒	(诅咒,换枪,该)
 295:50 - 296:38	笑死了，十个贴牌针管十个不愿意对枪，就喜欢扔雷	(十个,醇厚,臭味)
 297:10 - 297:18	奶活了	(奶活,666,了)
 298:11 - 303:54	上次还说不玩这个呢，一玩分币没有音符那边跟雅阁了一样一个人没有	(了,我,打)
 305:01 - 305:47	之前的斯普拉顿，510541，还连续播过几天呢[dog]	(donation,播过,顿)
 307:08 - 307:59	我先进去了[大哭]	(了,我,你)
 313:22 - 314:33	你还要管你队友的生活吗[哇]	(吗,你,队友)
 330:22 - 332:15	可以直接望鱼虎上扔雷的	(扔,士,大戾)
 336:55 - 337:40	白白的泡泡呀[哇]	(泡泡,白白的,白泡)
 337:47 - 340:20	所以我早就在外面等你了[dog]	(],[,哇)
 345:28 - 346:03	大戾士	(大概,短,距离)
 346:15 - 346:36	人才[哇]	(13,人才,哈哈哈哈)
 349:09 - 349:18	走马灯	(走马灯)
 352:59 - 354:43	让二追五	(让,二,追)
 356:19 - 362:31	主播主播我的P数比你多了[哇]	(],[,哇)
 362:40 - 363:36	四个模式唯独鱼虎我不打[傲娇]	(模式,鼠标,哇团灭)
 366:18 - 371:11	跟主播一样连输几把或许就能隐藏分一样狙到了[哇]	(的,了,])
 372:18 - 372:31		()
 372:32 - 373:16	还有机会吗	(自己,我,哇)
 373:30 - 373:51	想想你的队友	(哪边,有,你)
 373:54 - 374:29	看来回了	(我,整局,害)
 375:20 - 376:09	进口石油咯	(有,22,这下子)
 382:50 - 383:11	上一局还在嫌弃队友呢	(嫌弃,杀人,只想)




 383:24 - 383:45	全是助攻，对面全是混子武器，一堆蹭助攻的	(助攻,全是,对面)
 383:55 - 384:17		(总代,程序员,高材生)
 386:01 - 387:20	怎么程序崩溃了吗	(了,怎么,前面)
 393:38 - 394:47	[比心][比心]	(],[,比心)
 398:45 - 399:29	使劲涂，哪边射的多颜色就变成哪边	(哪边,射,颜色)
 399:55 - 400:28	没跑的下场	(..,输掉,下场)
 400:32 - 400:42	两个刷子	(刷子,赚,两个)
 402:27 - 402:50		()
 404:42 - 405:43	打的碎，没有墨甲，就是100血	(砸,，,地毁)
 406:21 - 406:45	难道说	(难道说)
 407:29 - 407:40		()
 428:11 - 429:44	雅阁塔楼	(塔楼,牛哇,哇)
 429:52 - 433:02	看看库鲁迈 一开始就放弃了	(⁄,了,•)
 433:12 - 436:02	我主-业已发，我下，面很，嫩，紧，很想要了，可以来帮我嘛，你设哩面都行💗	(，,很,我)
 442:34 - 443:27	同时进去，我又演了队友一局[dog]	(队友,跪,真为)
 446:22 - 446:48	悲哀啊	(推太快,咯,开始)
 447:03 - 447:16	跑了	(我,往前,冲)
 455:09 - 456:26	我不就问你为什么第一个是老鼠啊	(问,怪,我)
 456:38 - 456:45		()
 458:15 - 460:27	你们俩都开了是吧	(都,你们,了)
 462:33 - 462:51		()
 468:30 - 469:09	赢了	(。,克制,倍)
 470:57 - 472:16	主播不是喜欢河田吗[大哭]	(主播,河田,拍落)
 472:26 - 473:05		()
 473:11 - 473:56	边际递增的摄影师	(河田超,摄影师,时刻)
 474:15 - 474:55	这和田不是金色的	(金色,和田,不是)




 476:15 - 476:20		()
 476:26 - 478:24	没有任何能氪金的地方我只能说，不知道怎么赚钱	(氪,金,打着)
 481:06 - 481:36	快没pp了	(pp,快,没)
 482:42 - 482:54		()
 485:30 - 486:23	终于等到松饼睡着的时候了	(换人,在读,滋滋)
 486:35 - 487:10	替身四次痛平分	(四次,替身,平分)
 487:54 - 488:08		()
 488:19 - 491:06	3个弱火的	(？,不如,对面)
 494:22 - 494:59	命玉qq	(qq,命玉,刘易斯)
 495:32 - 497:17	没算天气[哇]	(？,对,也)
 498:01 - 499:51	KO[哇]	(了,ko,卖)
 502:31 - 503:55	那你龙之波动打穿了啊	(。,晴天霹雳,/)
 506:09 - 506:14		()
 506:37 - 506:59	后面500有什么用你都27w了	(27w,500,一把)
 507:14 - 507:26		(痒,心里,进度条)
 510:53 - 513:29	对面：家人们 遇到人机了	(亲亲,加纳,])

