全场最高能：245:01	我刚来的 我不知道啥是走马灯 可以讲讲吗

其他高能：
 3:46 - 5:43	早捏	(啊啊啊,早,比心)
 294:20 - 295:20	喵的，去看马灯原因，linke你又拖了老子40分钟睡眠时间	(马灯,],[)
 296:18 - 297:00	主播我是未成年，你教坏我了	(未成年,了,我)
 297:51 - 299:22	牛车害了孙孙	(牛车,比心,人气)
 300:40 - 302:36	以前在鱼的时候，播喷喷的时候真的只有两三个人，我还是其中一个那种	(喷喷,我,蹲)
 305:08 - 305:32	19不都目标6000吗	(19,众筹多人,6000)
 306:16 - 306:48	19年不是排行榜有个卡不掉分的人被封了[dog]	(进去,了,表哥)
 307:09 - 307:36	今天开播的时候牛车了吗，还会有牛车吗[花]	(吗,牛车,捡)
 311:28 - 312:03	牛爷爷来喽	(来,257,在线)
 317:28 - 318:45	那你打一把马造又换回马车，可以无限刷火箭了	(了,火箭,没事)
 323:07 - 323:47	那就得AI孙来播了	(下,甜菜,30)
 330:39 - 331:36	你看十分钟不犯困来找我	(了,走马灯,我)
 357:31 - 357:47	为什么不中位数	(白交,很多年,工资)
 357:50 - 358:11		(5,+)
 360:08 - 360:11		()
 361:26 - 364:00	主播可有钱了，闲的开发游戏来着	(的,有钱,牛车)
 364:18 - 364:29	总裁欢迎回家	(总裁,回家,欢迎)
 364:39 - 364:53	主播原来是个富哥啊	(富哥,原来,个)
 367:48 - 368:56	前缀的很正常可能加的这括号不好	(特别,的,错付)
 369:02 - 369:23	粉忠老师我要看这段[委屈]	(这段,拎,仔)




 369:27 - 370:52	这把就六个真人，你是第二分高的	(六个,真人,你)
 371:12 - 372:30	保住自己第二吧™太菜了	(保住,9700,第二)
 374:10 - 375:47	卖了再买呗	(拆,呗,要)
 377:29 - 380:43	现在拆迁都不给钱了	(拆迁,男士,房子)
 384:01 - 384:17	主播今年多大了	(券,打折,xx)
 387:06 - 388:59	早就说了金龟子算是高级道具[dog][dog]	(金龟子,了,你)
 390:29 - 392:12	你咋不说这么多人交了多少税呢	(人口,？,家乡话)
 392:21 - 396:53	谁告诉你没补贴的时候就不交税了	(了,你,，)
 397:10 - 397:14	雷⚡️莱	(龟,莱,⚡)
 397:24 - 398:09	如果领先了，不要漫不经心	(？,了,不要)
 405:26 - 407:21	各位晚安💤	(壳,蘑菇,哈哈哈)
 407:33 - 407:40		()
 415:37 - 415:39		(看见,第一次,三)
 416:19 - 421:45	蘑菇躲蓝寻是因为官方加了无敌帧，美食没有无敌帧	(美食,],[)
 426:49 - 428:45	这游戏是不是抄袭的	(的,抄袭,])
 428:52 - 429:16	其实抄袭的是古惑狼赛车[dog]	(抄袭,拔作岛,古惑狼)
 429:40 - 430:05	大哥糊涂	(比心,糊涂,用)
 430:41 - 431:43	马里奥赛车从最早跑圈 变成现在的拉力赛 还是有进步的	(哇,],[)
 431:53 - 432:03		()
 432:08 - 432:48	主播漏舰长了	(舰长,了,主播)
 432:52 - 433:38	主播漏舰长了	(舰长,主播,傲娇)
 433:39 - 435:02	主播别金币了盆满钵满了	(傲娇,],[)
 444:39 - 444:47		()
 445:57 - 449:15	是不是拿到金蘑菇了	(了,],[)




 450:36 - 450:43	♾️道具我感觉是s道具里最没用的	(道具,♾,没用)
 453:36 - 454:23	运气主播	(非要,操作,运气)
 456:20 - 456:33	开了	(开,夺冠,保送)
 456:39 - 456:49	直接算你赢得了	(直接,赢得,看不见)
 457:11 - 457:27		()
 460:41 - 462:13	一声声所以中-30	(，,30,-)
 462:30 - 463:09	播7个小时了吗	(擦,害人精,吗)
 464:40 - 467:10	卖电脑的，白白胖胖的和在走马灯的只有体重上的区别，其实是一类人	(的,速度,是)
 468:40 - 469:53	因为主播戾气大，自重大	(戾,是,主播)
 475:44 - 478:08	主播这么咳嗽了还不休息啊[花]	(老二,],[)
 482:05 - 482:12		()
 482:22 - 482:34	相当于方向盘上嵌钻石	(手指,嵌钻石,方向盘)
 486:34 - 487:30	你就带吧 反正我们也不买	(],[,你)
 489:10 - 489:48	高情商，最好的国产每个都不一样	(cs,道德败坏,素质)
 497:57 - 498:28	粉忠该剪了，我该切割了	(滑稽,了,投降)
 505:27 - 507:36	ztmex这系统	(ztmex,？,蘑菇)

